"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"InternLM/InternLM","https://github.com/InternLM/InternLM","InternLM","Python","7204","False","False","7/6/2023 4:52:06 AM","5/3/2026 4:40:36 AM","Official release of InternLM series (InternLM, InternLM2, InternLM2.5, InternLM3).","chatbot;chinese;fine-tuning-llm;flash-attention;gpt;large-language-model;llm;long-context;pretrained-models;rlhf","chinese language:Python stars:>=50"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","naptha","JavaScript","38046","False","False","6/24/2015 2:49:52 AM","5/3/2026 1:33:18 AM","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","deep-learning;javascript;ocr;tesseract;webassembly","topic:deep-learning stars:>=100"
"CLUEbenchmark/CLUENER2020","https://github.com/CLUEbenchmark/CLUENER2020","CLUEbenchmark","Python","1526","False","False","1/5/2020 11:44:46 AM","4/30/2026 6:26:02 PM","CLUENER2020 中文细粒度命名实体识别 Fine Grained Named Entity Recognition","albert;bert;chinese;chinese-ner;chinesener;dataset;fine-grained-ner;named-entity-recognition;ner;roberta;seq2seq;sequence-labeling;sequence-to-sequence","topic:bert language:Python stars:>=50"
"PJLab-ADG/3DTrans","https://github.com/PJLab-ADG/3DTrans","PJLab-ADG","Python","574","False","False","3/8/2023 3:50:11 PM","5/2/2026 9:05:18 AM","An open-source codebase for exploring autonomous driving pre-training","3d-da;3d-pretraining","pre-training language:Python stars:>=50"
"dmmiller612/bert-extractive-summarizer","https://github.com/dmmiller612/bert-extractive-summarizer","dmmiller612","Python","1453","False","False","5/11/2019 3:33:44 PM","4/12/2026 4:36:43 AM","Easy to use extractive text summarization with BERT","bert;coreference;extractive-summarization;pytorch","topic:bert language:Python stars:>=50"
"imcaspar/gpt2-ml","https://github.com/imcaspar/gpt2-ml","imcaspar","Python","1704","False","False","11/5/2019 2:52:26 AM","4/24/2026 3:28:23 PM","GPT2 for Multiple Languages, including pretrained models. GPT2 多语言支持, 15亿参数中文预训练模型","bert;chinese;colab;gpt-2;nlp;pretrained-models;tensorflow;text-generation;tpu","topic:bert language:Python stars:>=50"
"Avik-Jain/100-Days-of-ML-Code-Chinese-Version","https://github.com/Avik-Jain/100-Days-of-ML-Code-Chinese-Version","Avik-Jain","Python","3523","False","False","8/5/2018 1:58:34 PM","5/2/2026 1:01:37 PM","Chinese Translation for Machine Learning Infographics","","chinese language:Python stars:>=50"
"rwv/chinese-dos-games","https://github.com/rwv/chinese-dos-games","rwv","Python","10161","False","False","8/30/2018 2:12:12 PM","5/2/2026 10:52:06 PM","🎮 Chinese DOS games collections.","dos;game","chinese language:Python stars:>=50"
"dongrixinyu/JioNLP","https://github.com/dongrixinyu/JioNLP","dongrixinyu","Python","3833","False","False","3/13/2020 9:07:46 AM","5/3/2026 12:53:06 AM","中文 NLP 预处理、解析工具包，准确、高效、易用 A Chinese NLP Preprocessing & Parsing Package www.jionlp.com","apache2;chinese;natural-language-processing;ner;nlp;nlp-parse;preprocessing;python;time-parse;time-parsing","chinese language:Python stars:>=50"
"zengyan-97/X-VLM","https://github.com/zengyan-97/X-VLM","zengyan-97","Python","506","False","False","11/15/2021 6:12:09 AM","4/19/2026 8:03:05 PM","X-VLM: Multi-Grained Vision Language Pre-Training (ICML 2022)","multimodality;vision-and-language;x-vlm","pre-training language:Python stars:>=50"
"Tencent/MedicalNet","https://github.com/Tencent/MedicalNet","Tencent","Python","2213","False","False","7/17/2019 9:53:10 AM","5/2/2026 12:28:34 PM","Many studies have shown that the performance on deep learning is significantly affected by volume of training data. The MedicalNet project provides a series of 3D-ResNet pre-trained models and relative code.","","pre-training language:Python stars:>=50"
"649453932/Chinese-Text-Classification-Pytorch","https://github.com/649453932/Chinese-Text-Classification-Pytorch","649453932","Python","5733","False","False","7/11/2019 1:38:08 AM","4/28/2026 9:53:39 PM","中文文本分类，TextCNN，TextRNN，FastText，TextRCNN，BiLSTM_Attention，DPCNN，Transformer，基于pytorch，开箱即用。","","chinese language:Python stars:>=50"
"microsoft/unilm","https://github.com/microsoft/unilm","microsoft","Python","22114","False","False","7/23/2019 4:15:28 AM","5/3/2026 2:16:58 AM","Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities","beit;beit-3;bitnet;deepnet;document-ai;foundation-models;kosmos;kosmos-1;layoutlm;layoutxlm;llm;minilm;mllm;multimodal;nlp;pre-trained-model;textdiffuser;trocr;unilm;xlm-e","pre-training language:Python stars:>=50"
"chineseocr/chineseocr","https://github.com/chineseocr/chineseocr","chineseocr","Python","6120","False","False","5/1/2018 2:27:52 PM","4/28/2026 9:03:01 AM","yolo3+ocr","chinese-ocr;chinese-text-detect;darknet-text-detect;idcard;ocr;opencv-dnn;trainticket;yolo3","chinese language:Python stars:>=50"
"mli/paper-reading","https://github.com/mli/paper-reading","mli","","32949","False","False","10/22/2021 6:34:51 AM","5/3/2026 7:21:07 AM","深度学习经典、新论文逐段精读","deep-learning;paper;reading-list","topic:deep-learning stars:>=100"
"mozillazg/python-pinyin","https://github.com/mozillazg/python-pinyin","mozillazg","Python","5293","False","False","9/14/2013 2:01:40 PM","5/3/2026 6:35:53 AM","汉字转拼音(pypinyin)","chinese;hanzi;hanzi-pinyin;pinyin;pypinyin;python;python2;python3","chinese language:Python stars:>=50"
"gaussic/text-classification-cnn-rnn","https://github.com/gaussic/text-classification-cnn-rnn","gaussic","Python","4299","False","False","8/28/2017 5:41:22 AM","5/2/2026 10:00:43 AM","CNN-RNN中文文本分类，基于TensorFlow","chinese;classification;cnn;rnn;tensorboard;tensorflow;text-classification","chinese language:Python stars:>=50"
"microsoft/XPretrain","https://github.com/microsoft/XPretrain","microsoft","Python","511","False","False","3/15/2022 7:56:36 AM","4/21/2026 1:37:01 AM","Multi-modality pre-training","computer-vision;multimedia;multimodal-learning;nlp;pre-training","pre-training language:Python stars:>=50"
