"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","1","1022.85","True","0.2222","0","1","0.9877","1","1","0.3333","topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31413","deep-learning","2","1014.58","True","0.1579","0","1","0.9856","1","1","0.6667","topic:data-mining language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64057","deep-learning","3","984.87","True","0.2105","0","1","0.8309","1","1","0.3333","topic:deep-learning stars:>=100","Deep Learning for humans"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38299","deep-learning","4","970.12","True","0.1724","0","1","0.9425","1","1","0.3333","topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","deep-learning","5","948.07","True","0.1667","0","1","0.8461","1","1","0.3333","topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","deep-learning","6","944.3","True","0.15","0","1","0.9103","1","1","0.3333","topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","piskvorky/gensim","https://github.com/piskvorky/gensim","piskvorky","Python","16405","deep-learning","7","941.3","True","0.1538","0","1","0.8734","1","1","0.3333","topic:data-mining language:Python stars:>=50","Topic Modelling for Humans"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","Hironsan/BossSensor","https://github.com/Hironsan/BossSensor","Hironsan","Python","6281","deep-learning","8","925.18","True","0.1765","0","1","0.6649","1","1","0.3333","topic:cnn language:Python stars:>=50","Hide screen when boss is approaching."
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","9","923.11","True","0.15","0","1","0.7892","1","1","0.3333","topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42248","deep-learning","10","919.22","True","0.12","0","1","0.9212","1","1","0.3333","topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56706","deep-learning","11","916.16","True","0.129","0","1","0.8573","1","1","0.3333","topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42495","deep-learning","12","914.84","True","0.1154","0","1","0.92","1","1","0.3333","topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
