"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"kk7nc/RMDL","https://github.com/kk7nc/RMDL","kk7nc","Python","428","False","False","10/23/2017 8:50:45 PM","3/26/2026 3:38:37 AM","RMDL: Random Multimodel Deep Learning for Classification","classification;cnn;convolutional-neural-networks;data-mining;deep-learning;deep-neural-networks;dnn;ensemble-learning;image-classification;information-retrieval;keras;machine-learning;multimodel;recurrent-neural-networks;rnn;tensorflow;text-classification;text-mining","topic:data-mining language:Python stars:>=50"
"BingYang-20/SRP-DNN","https://github.com/BingYang-20/SRP-DNN","BingYang-20","Python","61","False","False","1/15/2023 9:17:29 AM","4/8/2026 8:12:09 AM","A python implementation of “SRP-DNN: Learning Direct-Path Phase Difference for Multiple Moving Sound Source Localization” [ICASSP 2022]","azimuth-angle;crnn;deep-learning;direct-path;doa-estimation;elevation-angle;ipd;multi-channel;sound-source-localization;source-detection;srp","topic:crnn language:Python stars:>=50"
"coneypo/Dlib_face_recognition_from_camera","https://github.com/coneypo/Dlib_face_recognition_from_camera","coneypo","Python","2455","False","False","5/11/2018 4:34:12 AM","5/1/2026 3:00:46 AM","Detect and recognize the faces from camera / 调用摄像头进行人脸识别，支持多张人脸同时识别","cnn;dlib-face-recognition;face-recognition;resnet-34","topic:cnn language:Python stars:>=50"
"jasonwei20/eda_nlp","https://github.com/jasonwei20/eda_nlp","jasonwei20","Python","1652","False","False","12/27/2018 2:02:36 AM","4/7/2026 4:53:41 AM","Data augmentation for NLP, presented at EMNLP 2019","classification;cnn;data-augmentation;embeddings;nlp;position;rnn;sentence;swap;synonyms;text-classification","topic:cnn language:Python stars:>=50"
"SuperBruceJia/EEG-DL","https://github.com/SuperBruceJia/EEG-DL","SuperBruceJia","Python","1153","False","False","4/30/2020 5:12:40 AM","4/29/2026 7:17:14 PM","A Deep Learning library for EEG Tasks (Signals) Classification, based on TensorFlow.","attention-mechanism;cnn;deep-learning;densenet;eeg-classification;eeg-data;eeg-signals-processing;fully-convolutional-networks;gcn;graph-convolutional-neural-networks;gru;lstm;motor-imagery-classification;one-shot-learning;residual-learning;resnet;rnn;tensorflow;transformer;transformers","topic:cnn language:Python stars:>=50"
"diaomin/crnn-mxnet-chinese-text-recognition","https://github.com/diaomin/crnn-mxnet-chinese-text-recognition","diaomin","Python","221","False","False","4/6/2018 8:38:56 AM","4/14/2026 2:46:19 AM","An implementation of CRNN (CNN+LSTM+warpCTC) on MxNet for chinese text recognition","chinese-text-recognition;cnn-lstm-ctc;crnn;mxnet;ocr","topic:crnn language:Python stars:>=50"
"kamo-naoyuki/pytorch_convolutional_rnn","https://github.com/kamo-naoyuki/pytorch_convolutional_rnn","kamo-naoyuki","Python","135","False","False","4/30/2018 9:16:17 AM","9/8/2025 3:25:49 PM","PyTorch implementation of Convolutional Recurrent Neural Network","cnn;crnn;deep-learning;pytorch;rnn","topic:crnn language:Python stars:>=50"
"alan-turing-institute/CleverCSV","https://github.com/alan-turing-institute/CleverCSV","alan-turing-institute","Python","1325","False","False","1/30/2019 11:15:17 AM","4/22/2026 8:23:26 AM","CleverCSV is a Python package for handling messy CSV files. It provides a drop-in replacement for the builtin CSV module with improved dialect detection, and comes with a handy command line application for working with CSV files.","csv;csv-converter;csv-export;csv-files;csv-format;csv-import;csv-parser;csv-parsing;csv-reader;csv-reading;data-analysis;data-mining;data-science;datascience;machine-learning;python;python-library;python3","topic:data-mining language:Python stars:>=50"
"daili0015/ModelFeast","https://github.com/daili0015/ModelFeast","daili0015","Python","154","False","False","2/12/2019 12:31:28 PM","4/4/2026 12:42:58 PM","Pytorch model zoo for human, include all kinds of 2D CNN, 3D CNN, and CRNN","3dcnn;action-recognition;c3d;crnn;i3d;medical-images;model-zoo;modelzoo;non-local;pytorch;pytorch-classification","topic:crnn language:Python stars:>=50"
"tensorlayer/SRGAN","https://github.com/tensorlayer/SRGAN","tensorlayer","Python","3475","False","False","4/20/2017 5:08:27 PM","4/26/2026 11:32:08 PM","Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network","cnn;gan;srgan;super-resolution;tensorflow;tensorlayer;vgg;vgg16;vgg19","topic:cnn language:Python stars:>=50"
"open-mmlab/mmocr","https://github.com/open-mmlab/mmocr","open-mmlab","Python","4729","False","False","4/7/2021 1:40:21 PM","4/30/2026 11:08:47 AM","OpenMMLab Text Detection, Recognition and Understanding Toolbox","abcnet;abinet;crnn;dbnet;deep-learning;fcenet;key-information-extraction;maskrcnn;ocr;pan;panet;psenet;pytorch;sar;sdmg-r;segmentation-based-text-recognition;spts;svtr;text-detection;text-recognition","topic:crnn language:Python stars:>=50"
"cfzd/Ultra-Fast-Lane-Detection","https://github.com/cfzd/Ultra-Fast-Lane-Detection","cfzd","Python","2033","False","False","5/23/2020 11:11:34 AM","4/29/2026 4:30:09 AM","Ultra Fast Structure-aware Deep Lane Detection (ECCV 2020)","autonomous-driving;autonomous-vehicles;cnn;lane-detection;lane-detector;lane-finding;pytorch;road-detection","topic:cnn language:Python stars:>=50"
"opencv/opencv","https://github.com/opencv/opencv","opencv","C++","87330","False","False","7/19/2012 9:40:17 AM","5/3/2026 4:50:32 PM","Open Source Computer Vision Library","c-plus-plus;computer-vision;deep-learning;image-processing;opencv","topic:deep-learning stars:>=100"
"huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160213","False","False","10/29/2018 1:56:00 PM","5/3/2026 6:57:29 PM","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","topic:deep-learning stars:>=100"
