"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"facefusion/facefusion","https://github.com/facefusion/facefusion","facefusion","Python","28124","False","False","8/17/2023 7:59:55 PM","5/3/2026 4:01:06 PM","Industry leading face manipulation platform","ai;deep-fake;deepfake;face-swap;faceswap;lip-sync;lipsync","topic:ai language:Python stars:>=50"
"amazon-science/prompt-pretraining","https://github.com/amazon-science/prompt-pretraining","amazon-science","Python","259","False","False","3/22/2023 3:31:46 AM","11/23/2025 2:59:09 AM","Official implementation for the paper ""Prompt Pre-Training with Over Twenty-Thousand Classes for Open-Vocabulary Visual Recognition""","","pretrain language:Python stars:>=50"
"GokuMohandas/Made-With-ML","https://github.com/GokuMohandas/Made-With-ML","GokuMohandas","Jupyter Notebook","47486","False","False","11/5/2018 3:44:27 AM","5/3/2026 6:46:16 PM","Learn how to develop, deploy and iterate on production-grade ML applications.","data-engineering;data-quality;data-science;deep-learning;distributed-ml;distributed-training;llms;machine-learning;mlops;natural-language-processing;python;pytorch;ray","topic:deep-learning stars:>=100"
"lucidrains/PaLM-rlhf-pytorch","https://github.com/lucidrains/PaLM-rlhf-pytorch","lucidrains","Python","7868","False","False","12/9/2022 5:53:46 PM","4/30/2026 8:34:17 AM","Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM","artificial-intelligence;attention-mechanisms;deep-learning;human-feedback;reinforcement-learning;transformers","topic:artificial-intelligence language:Python stars:>=50"
"lucidrains/denoising-diffusion-pytorch","https://github.com/lucidrains/denoising-diffusion-pytorch","lucidrains","Python","10539","False","False","8/26/2020 2:22:10 AM","5/3/2026 2:06:14 PM","Implementation of Denoising Diffusion Probabilistic Model in Pytorch","artificial-intelligence;deep-learning;generative-model;score-matching","topic:artificial-intelligence language:Python stars:>=50"
"TencentARC/GFPGAN","https://github.com/TencentARC/GFPGAN","TencentARC","Python","37445","False","False","3/19/2021 6:18:20 AM","5/3/2026 3:03:06 PM","GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.","deep-learning;face-restoration;gan;gfpgan;image-restoration;pytorch;super-resolution","pytorch language:Python stars:>=50 | topic:deep-learning stars:>=100"
"shilrley6/Faster-R-CNN-with-model-pretrained-on-Visual-Genome","https://github.com/shilrley6/Faster-R-CNN-with-model-pretrained-on-Visual-Genome","shilrley6","Python","239","False","False","1/13/2020 6:58:58 AM","12/24/2025 4:03:13 AM","Faster RCNN model in Pytorch version, pretrained on the Visual Genome with ResNet 101","","pretrain language:Python stars:>=50"
"lucidrains/DALLE2-pytorch","https://github.com/lucidrains/DALLE2-pytorch","lucidrains","Python","11319","False","False","4/7/2022 4:14:08 AM","5/3/2026 5:01:09 PM","Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch","artificial-intelligence;deep-learning;text-to-image","topic:artificial-intelligence language:Python stars:>=50"
"wandb/wandb","https://github.com/wandb/wandb","wandb","Python","11039","False","False","3/24/2017 5:46:23 AM","5/3/2026 11:00:04 AM","The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.","ai;collaboration;data-science;data-versioning;deep-learning;experiment-track;hyperparameter-optimization;hyperparameter-search;hyperparameter-tuning;jax;keras;machine-learning;ml-platform;mlops;model-versioning;pytorch;reinforcement-learning;reproducibility;tensorflow","topic:data-science language:Python stars:>=50"
"dreamzero0/dreamzero","https://github.com/dreamzero0/dreamzero","dreamzero0","Python","1809","False","False","1/27/2026 7:37:17 PM","5/3/2026 4:16:23 PM","Code to pretrain, fine-tune, and evaluate DreamZero and run sim & real-world evals","","pretrain language:Python stars:>=50"
"karpathy/minGPT","https://github.com/karpathy/minGPT","karpathy","Python","24284","False","False","8/17/2020 7:08:48 AM","5/3/2026 5:45:03 PM","A minimal PyTorch re-implementation of the OpenAI GPT (Generative Pretrained Transformer) training","","pytorch language:Python stars:>=50"
"lucidrains/electra-pytorch","https://github.com/lucidrains/electra-pytorch","lucidrains","Python","236","False","False","8/4/2020 9:38:03 PM","4/8/2026 6:25:40 PM","A simple and working implementation of Electra, the fastest way to pretrain language models from scratch, in Pytorch","artificial-intelligence;deep-learning;pre-training;transformer","pretrain language:Python stars:>=50"
"ZuzooVn/machine-learning-for-software-engineers","https://github.com/ZuzooVn/machine-learning-for-software-engineers","ZuzooVn","","28760","False","False","10/9/2016 9:20:25 PM","5/3/2026 5:45:26 PM","A complete daily plan for studying to become a machine learning engineer.","artificial-intelligence;deep-learning;machine-learning;machine-learning-algorithms;software-engineer","topic:deep-learning stars:>=100"
"open-mmlab/mmdetection","https://github.com/open-mmlab/mmdetection","open-mmlab","Python","32651","False","False","8/22/2018 7:06:06 AM","5/3/2026 5:41:22 PM","OpenMMLab Detection Toolbox and Benchmark","cascade-rcnn;convnext;detr;fast-rcnn;faster-rcnn;glip;grounding-dino;instance-segmentation;mask-rcnn;object-detection;panoptic-segmentation;pytorch;retinanet;rtmdet;semisupervised-learning;ssd;swin-transformer;transformer;vision-transformer;yolo","pytorch language:Python stars:>=50"
