"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"comet-ml/opik","https://github.com/comet-ml/opik","comet-ml","Python","19178","False","False","5/10/2023 12:57:13 PM","5/3/2026 5:44:17 PM","Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.","evaluation;hacktoberfest;hacktoberfest2025;langchain;llama-index;llm;llm-evaluation;llm-observability;llmops;open-source;openai;playground;prompt-engineering","o language:Python stars:>=50"
"letta-ai/letta","https://github.com/letta-ai/letta","letta-ai","Python","22417","False","False","10/11/2023 7:38:37 AM","5/3/2026 6:13:50 PM","Letta is the platform for building stateful agents: AI with advanced memory that can learn and self-improve over time.","ai;ai-agents;llm;llm-agent","topic:ai language:Python stars:>=50"
"man-c/pycoingecko","https://github.com/man-c/pycoingecko","man-c","Python","1094","False","False","8/24/2018 5:59:42 PM","4/27/2026 9:55:00 AM","Python wrapper for the CoinGecko API","api;api-wrapper;coingecko;crypto;cryptocurrency;nft;nfts;python;python3;wrapper","topic:crypto language:Python stars:>=50"
"langchain-ai/langgraph","https://github.com/langchain-ai/langgraph","langchain-ai","Python","31111","False","False","8/9/2023 6:33:12 PM","5/3/2026 6:51:53 PM","Build resilient language agents as graphs.","agents;ai;ai-agents;chatgpt;deepagents;enterprise;framework;gemini;generative-ai;langchain;langgraph;llm;multiagent;open-source;openai;pydantic;python;rag","topic:ai language:Python stars:>=50"
"yaron4u/EnigmaCracker","https://github.com/yaron4u/EnigmaCracker","yaron4u","Python","612","False","False","11/1/2023 7:40:48 PM","5/2/2026 12:36:37 AM","EnigmaCracker is a tool for brute forcing crypto wallets","bitcoin;bitcoin-bruteforce;bitcoin-wallet;bitcoin-wallet-cracker;brute-force;brute-force-attacks;bruteforce;crypto;cryptography;hack;mnemonic;python;wallet","topic:crypto language:Python stars:>=50"
"commaai/openpilot","https://github.com/commaai/openpilot","commaai","Python","60802","False","False","11/24/2016 1:33:30 AM","5/3/2026 6:49:55 PM","openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.","advanced-driver-assistance-systems;driver-assistance-systems;robotics","o language:Python stars:>=50"
"insightglacier/Shiro_exploit","https://github.com/insightglacier/Shiro_exploit","insightglacier","Python","580","False","False","1/19/2020 1:50:32 PM","4/25/2026 11:07:33 AM","Apache Shiro 反序列化漏洞检测与利用工具","crypto;deserialize;exploit;gadget;shiro;vulnerability;vulnerability-research;vulnerability-scanners","topic:crypto language:Python stars:>=50"
"HKUDS/OpenHarness","https://github.com/HKUDS/OpenHarness","HKUDS","Python","11798","False","False","4/1/2026 3:37:13 PM","5/3/2026 6:05:51 PM","""OpenHarness: Open Agent Harness with a Built-in Personal Agent--Ohmo!""","","o language:Python stars:>=50"
"Unity-Technologies/ml-agents","https://github.com/Unity-Technologies/ml-agents","Unity-Technologies","C#","19373","False","False","9/8/2017 9:09:04 PM","5/3/2026 3:11:45 PM","The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.","deep-learning;deep-reinforcement-learning;machine-learning;neural-networks;reinforcement-learning;unity;unity3d","reinforcement learning stars:>=100"
"andri27-ts/Reinforcement-Learning","https://github.com/andri27-ts/Reinforcement-Learning","andri27-ts","Jupyter Notebook","4716","False","False","8/28/2018 11:04:16 AM","4/30/2026 2:50:43 PM","Learn Deep Reinforcement Learning in 60 days! Lectures & Code in Python. Reinforcement Learning + Deep Learning","a2c;artificial-intelligence;deep-learning;deep-reinforcement-learning;deepmind;dqn;evolution-strategies;machine-learning;policy-gradients;ppo;qlearning;reinforcement-learning","reinforcement learning stars:>=100"
