"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"apache/airflow","https://github.com/apache/airflow","dagster-io/dagster","https://github.com/dagster-io/dagster","dagster-io","Python","15426","mlops","1","1196.59","True","0.4583","0","1","0.7662","1","1","0.3333","topic:mlops stars:>=100","An orchestration platform for the development, production, and observation of data assets."
"apache/airflow","https://github.com/apache/airflow","Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19175","mlops","2","983.27","True","0.2121","0","1","0.8135","1","1","0.3333","topic:mlops stars:>=100","Turns Data and AI algorithms into production-ready web applications in no time."
"apache/airflow","https://github.com/apache/airflow","feast-dev/feast","https://github.com/feast-dev/feast","feast-dev","Python","6999","mlops","3","934.06","True","0.2","0","1","0.5946","1","1","0.3333","topic:mlops stars:>=100","The Open Source Feature Store for AI/ML"
"apache/airflow","https://github.com/apache/airflow","kedro-org/kedro","https://github.com/kedro-org/kedro","kedro-org","Python","10861","mlops","4","878.76","False","0.12","0","1","0.69","1","1","0.3333","topic:mlops stars:>=100","Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular."
"apache/airflow","https://github.com/apache/airflow","couler-proj/couler","https://github.com/couler-proj/couler","couler-proj","Python","943","mlops","5","877.92","False","0.1667","0","1","0.1596","1","1","0.6667","topic:apache-airflow language:Python stars:>=50 | apache language:Python stars:>=50","Unified Interface for Constructing and Managing Workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow."
"apache/airflow","https://github.com/apache/airflow","san089/goodreads_etl_pipeline","https://github.com/san089/goodreads_etl_pipeline","san089","Python","1507","mlops","6","874.3","False","0.1429","0","1","0.2613","1","1","0.6667","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
"apache/airflow","https://github.com/apache/airflow","elyra-ai/elyra","https://github.com/elyra-ai/elyra","elyra-ai","Python","1993","mlops","7","856.34","False","0.1111","0","1","0.3219","1","1","0.6667","topic:airflow language:Python stars:>=50 | topic:apache-airflow language:Python stars:>=50","Elyra extends JupyterLab with an AI centric approach."
"apache/airflow","https://github.com/apache/airflow","ansible/ansible","https://github.com/ansible/ansible","ansible","Python","68458","mlops","8","852.14","False","0.0476","0","1","0.9102","1","1","0.3333","a language:Python stars:>=50","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
"apache/airflow","https://github.com/apache/airflow","great-expectations/great_expectations","https://github.com/great-expectations/great_expectations","great-expectations","Python","11456","mlops","9","845.76","False","0.0811","0","1","0.7016","1","1","0.3333","topic:mlops stars:>=100","Always know what to expect from your data."
"apache/airflow","https://github.com/apache/airflow","abhishek-ch/around-dataengineering","https://github.com/abhishek-ch/around-dataengineering","abhishek-ch","Python","1144","mlops","10","835.26","False","0.1667","0","1","0.2015","1","1","0.3333","topic:airflow language:Python stars:>=50","A Data Engineering & Machine Learning Knowledge Hub"
