"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"bbfamily/abu","https://github.com/bbfamily/abu","asavinov/intelligent-trading-bot","https://github.com/asavinov/intelligent-trading-bot","asavinov","Python","1676","data-science","1","998.72","True","0.2353","0","1","0.4969","1","1","0.6667","topic:algorithmic-trading language:Python stars:>=50 | topic:bitcoin language:Python stars:>=50","Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and feature engineering"
"bbfamily/abu","https://github.com/bbfamily/abu","zvtvz/zvt","https://github.com/zvtvz/zvt","zvtvz","Python","4120","data-science","2","958.62","True","0.2083","0","1","0.6921","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","modular quant framework."
"bbfamily/abu","https://github.com/bbfamily/abu","shashankvemuri/Finance","https://github.com/shashankvemuri/Finance","shashankvemuri","Python","3825","data-science","3","957.77","True","0.2105","0","1","0.676","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","150+ quantitative finance Python programs to help you gather, manipulate, and analyze stock market data"
"bbfamily/abu","https://github.com/bbfamily/abu","mwaskom/seaborn","https://github.com/mwaskom/seaborn","mwaskom","Python","13837","data-science","4","945.72","True","0.1429","0","1","0.9552","1","1","0.3333","topic:data-science stars:>=100","Statistical data visualization in Python"
"bbfamily/abu","https://github.com/bbfamily/abu","ranaroussi/quantstats","https://github.com/ranaroussi/quantstats","ranaroussi","Python","7063","data-science","5","933.71","True","0.1579","0","1","0.8091","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","Portfolio analytics for quants, written in Python"
"bbfamily/abu","https://github.com/bbfamily/abu","CryptoSignal/Crypto-Signal","https://github.com/CryptoSignal/Crypto-Signal","CryptoSignal","Python","5542","data-science","6","928.82","True","0.1071","0","1","0.7565","1","1","0.6667","topic:algorithmic-trading language:Python stars:>=50 | topic:bitcoin language:Python stars:>=50","Github.com/CryptoSignal - Trading & Technical Analysis Bot - 4,100+ stars, 1,100+ forks"
"bbfamily/abu","https://github.com/bbfamily/abu","RomelTorres/alpha_vantage","https://github.com/RomelTorres/alpha_vantage","RomelTorres","Python","4804","data-science","7","919.06","True","0.1579","0","1","0.7255","1","1","0.3333","topic:bitcoin language:Python stars:>=50","A python wrapper for Alpha Vantage API for financial data."
"bbfamily/abu","https://github.com/bbfamily/abu","coding-kitties/investing-algorithm-framework","https://github.com/coding-kitties/investing-algorithm-framework","coding-kitties","Python","965","data-science","8","887.42","False","0.1905","0","1","0.3771","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","Framework for developing, backtesting, and deploying automated trading algorithms and trading bots."
"bbfamily/abu","https://github.com/bbfamily/abu","akfamily/akshare","https://github.com/akfamily/akshare","akfamily","Python","18823","data-science","9","885.44","False","0.0714","0","1","0.978","1","1","0.3333","topic:data-science stars:>=100","AKShare is an elegant and simple financial data interface library for Python, built for human beings! 开源财经数据接口库"
"bbfamily/abu","https://github.com/bbfamily/abu","scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-learn","Python","65966","data-science","10","883.5","False","0.0667","0","1","0.7057","1","1","0.6667","topic:machine-learning language:Python stars:>=50 | topic:data-science stars:>=100","scikit-learn: machine learning in Python"
"bbfamily/abu","https://github.com/bbfamily/abu","edtechre/pybroker","https://github.com/edtechre/pybroker","edtechre","Python","3278","data-science","11","870.44","False","0.12","0","1","0.6425","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","Algorithmic Trading in Python with Machine Learning"
"bbfamily/abu","https://github.com/bbfamily/abu","matplotlib/matplotlib","https://github.com/matplotlib/matplotlib","matplotlib","Python","22764","data-science","12","861.3","False","0.0526","0","1","0.9367","1","1","0.3333","topic:data-science stars:>=100","matplotlib: plotting with Python"
"bbfamily/abu","https://github.com/bbfamily/abu","tukuaiai/tradecat","https://github.com/tukuaiai/tradecat","tukuaiai","Python","927","data-science","13","847.8","False","0.1481","0","1","0.3684","1","1","0.3333","topic:bitcoin language:Python stars:>=50","交易猫数据系统"
"bbfamily/abu","https://github.com/bbfamily/abu","pandas-dev/pandas","https://github.com/pandas-dev/pandas","pandas-dev","Python","48651","data-science","14","841.32","False","0.0625","0","1","0.7718","1","1","0.3333","topic:data-science stars:>=100","Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
"bbfamily/abu","https://github.com/bbfamily/abu","constverum/Quantdom","https://github.com/constverum/Quantdom","constverum","Python","765","data-science","15","835.75","False","0.1429","0","1","0.3267","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","Python-based framework for backtesting trading strategies & analyzing financial markets [GUI :neckbeard:]"
"bbfamily/abu","https://github.com/bbfamily/abu","ipython/ipython","https://github.com/ipython/ipython","ipython","Python","16695","data-science","16","824.29","False","0","0","1","0.9959","1","1","0.3333","topic:data-science stars:>=100","Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc."
"bbfamily/abu","https://github.com/bbfamily/abu","plotly/dash","https://github.com/plotly/dash","plotly","Python","24170","data-science","17","811.65","False","0","0","1","0.9237","1","1","0.3333","topic:data-science stars:>=100","Data Apps & Dashboards for Python. No JavaScript Required."
"bbfamily/abu","https://github.com/bbfamily/abu","reflex-dev/reflex","https://github.com/reflex-dev/reflex","reflex-dev","Python","28357","data-science","18","805.58","False","0","0","1","0.889","1","1","0.3333","topic:data-science stars:>=100","🕸️ Web apps in pure Python 🐍"
"bbfamily/abu","https://github.com/bbfamily/abu","freqtrade/freqtrade","https://github.com/freqtrade/freqtrade","freqtrade","Python","49740","","19","768.05","False","0.1765","0","1","0.767","1","0","0.6667","topic:algorithmic-trading language:Python stars:>=50 | topic:bitcoin language:Python stars:>=50","Free, open source crypto trading bot"
"bbfamily/abu","https://github.com/bbfamily/abu","Heerozh/spectre","https://github.com/Heerozh/spectre","Heerozh","Python","794","data-science","20","764.84","False","0.0625","0","1","0.3348","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","GPU-accelerated Factors analysis library and Backtester"
"bbfamily/abu","https://github.com/bbfamily/abu","idanya/algo-trader","https://github.com/idanya/algo-trader","idanya","Python","866","data-science","21","764.83","False","0.0588","0","1","0.3536","1","1","0.3333","topic:algorithmic-trading language:Python stars:>=50","Trading bot with support for realtime trading, backtesting, custom strategies and much more."
"bbfamily/abu","https://github.com/bbfamily/abu","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","deep-learning","22","759.73","False","0.16","0","1","0.8042","1","0","0.6667","topic:algorithmic-trading language:Python stars:>=50 | topic:machine-learning language:Python stars:>=50","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
"bbfamily/abu","https://github.com/bbfamily/abu","Fincept-Corporation/FinceptTerminal","https://github.com/Fincept-Corporation/FinceptTerminal","Fincept-Corporation","Python","19470","reinforcement","23","752.87","False","0.12","0","1","0.9707","1","0","0.6667","topic:algorithmic-trading language:Python stars:>=50 | topic:machine-learning language:Python stars:>=50","FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment."
"bbfamily/abu","https://github.com/bbfamily/abu","quantopian/zipline","https://github.com/quantopian/zipline","quantopian","Python","19721","","24","732.84","False","0.1538","0","1","0.9679","1","0","0.3333","topic:algorithmic-trading language:Python stars:>=50","Zipline, a Pythonic Algorithmic Trading Library"
"bbfamily/abu","https://github.com/bbfamily/abu","Asabeneh/30-Days-Of-Python","https://github.com/Asabeneh/30-Days-Of-Python","Asabeneh","Python","62000","editor","25","718.25","False","0.1304","0","1","0.7192","1","0","0.6667","a language:Python stars:>=50 | topic:data-science stars:>=100","The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
"bbfamily/abu","https://github.com/bbfamily/abu","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","deep-learning","26","713.52","False","0.0556","0","1","0.7915","1","0","1","topic:machine-learning language:Python stars:>=50 | a language:Python stars:>=50 | topic:data-science stars:>=100","Streamlit — A faster way to build and share data apps."
"bbfamily/abu","https://github.com/bbfamily/abu","ccxt/ccxt","https://github.com/ccxt/ccxt","ccxt","Python","42186","llm","27","711.92","False","0.1071","0","1","0.8028","1","0","0.6667","topic:bitcoin language:Python stars:>=50 | a language:Python stars:>=50","A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go "
"bbfamily/abu","https://github.com/bbfamily/abu","huggingface/datasets","https://github.com/huggingface/datasets","huggingface","Python","21483","llm","28","703.63","False","0.125","0","1","0.9493","1","0","0.3333","topic:machine-learning language:Python stars:>=50","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools"
"bbfamily/abu","https://github.com/bbfamily/abu","treeverse/dvc","https://github.com/treeverse/dvc","treeverse","Python","15576","mlops","29","699.59","False","0.0588","0","1","0.9809","1","0","0.6667","topic:machine-learning language:Python stars:>=50 | topic:data-science stars:>=100","🦉 Data Versioning and ML Experiments"
"bbfamily/abu","https://github.com/bbfamily/abu","ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42411","llm","30","695.29","False","0.0333","0","1","0.8016","1","0","1","topic:machine-learning language:Python stars:>=50 | a language:Python stars:>=50 | topic:data-science stars:>=100","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
