"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","False","False","8/24/2019 12:14:52 AM","5/3/2026 6:55:12 PM","Streamlit — A faster way to build and share data apps.","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","topic:machine-learning language:Python stars:>=50 | a language:Python stars:>=50 | topic:data-science stars:>=100"
"infiniflow/ragflow","https://github.com/infiniflow/ragflow","infiniflow","Python","79554","False","False","12/12/2023 6:13:13 AM","5/3/2026 7:10:10 PM","RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs","llm-app","a language:Python stars:>=50"
"1200wd/bitcoinlib","https://github.com/1200wd/bitcoinlib","1200wd","Python","701","False","False","2/17/2016 9:18:22 AM","4/16/2026 3:48:23 PM","The Python BitcoinLib provides developers with a wide range of tools to work with Bitcoin: manage wallets, private keys and addresses. Interact with the blockchain. And create complex transactions and scripts.","bitcoin;bitcoin-keys-manager;bitcoin-scripts;bitcoin-transaction;bitcoin-wallet;cryptocurrency;dogecoin;library;litecoin;mnemonic;python;wallet","topic:bitcoin language:Python stars:>=50"
"bitcart/bitcart","https://github.com/bitcart/bitcart","bitcart","Python","934","False","False","3/3/2019 8:54:15 PM","5/2/2026 9:22:31 AM","Bitcart is a free and open-source self-hosted payment processor for BTC, LTC, BCH, XMR, ETH, TRX, USDT and more","binance-smart-chain;bitcart;bitcoin;bitcoin-payment-gateway;docker;docker-compose;electrum;ethereum;ethereum-payment-gateway;fastapi;gateway;hacktoberfest;litecoin;merchant;monero;payment-gateway;payments;python;selfhosted;starlette","topic:bitcoin language:Python stars:>=50"
"eugeneyan/applied-ml","https://github.com/eugeneyan/applied-ml","eugeneyan","","28793","False","False","7/4/2020 6:57:47 PM","5/3/2026 8:03:53 AM","📚 Papers & tech blogs by companies sharing their work on data science & machine learning in production.","applied-data-science;applied-machine-learning;computer-vision;data-discovery;data-engineering;data-quality;data-science;deep-learning;machine-learning;natural-language-processing;production;recsys;reinforcement-learning;search","topic:data-science stars:>=100"
"51bitquant/binance_grid_trader","https://github.com/51bitquant/binance_grid_trader","51bitquant","Python","950","False","False","6/27/2020 1:57:39 PM","4/29/2026 8:42:02 PM","Binance_grid_trader is a grid strategy bot trading with Binance Spot and Binance Futures Exchange. you can use it to trade any pair in Binance Exchange. Binance_grid_trader是一个币安网格策略软件, 目前支持币安现货，USDT合约和币币合约。","51bitquant;algo-trading;algorithms;binance;binance-api;binance-exchange;bitcoin;btc;grid;grid-strategy;market-maker;okex;okex-api;python3;quantitative-finance;strategy;trading-algorithms;trading-bot;trading-bots;trading-strategies","topic:bitcoin language:Python stars:>=50"
"alpacahq/example-scalping","https://github.com/alpacahq/example-scalping","alpacahq","Python","824","False","False","10/6/2019 2:32:36 AM","4/30/2026 3:12:30 AM","A working example algorithm for scalping strategy trading multiple stocks concurrently using python asyncio","algorithmic-trading;algotrading;alpaca;api;async;asyncio;fintech;hft-trading;market-data;python3;scalping;trading-bot;trading-strategy","topic:algorithmic-trading language:Python stars:>=50"
"robertmartin8/MachineLearningStocks","https://github.com/robertmartin8/MachineLearningStocks","robertmartin8","Python","1946","False","False","2/12/2017 4:50:44 AM","4/27/2026 4:02:07 PM","Using python and scikit-learn to make stock predictions","algorithmic-trading;data-science;guide;historical-stock-fundamentals;machine-learning;python;quantitative-finance;scikit-learn;sklearn;stock;stock-prediction;stock-prices;trading;tutorial;yahoo-finance","topic:algorithmic-trading language:Python stars:>=50"
"microsoft/ML-For-Beginners","https://github.com/microsoft/ML-For-Beginners","microsoft","Jupyter Notebook","85616","False","False","3/3/2021 1:34:05 AM","5/3/2026 7:04:31 PM","12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all","data-science;education;machine-learning;machine-learning-algorithms;machinelearning;machinelearning-python;microsoft-for-beginners;ml;python;r;scikit-learn;scikit-learn-python","topic:data-science stars:>=100"
"PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22290","False","False","6/29/2018 9:59:26 PM","5/3/2026 5:43:26 PM","Prefect is a workflow orchestration framework for building resilient data pipelines in Python.","automation;data;data-engineering;data-ops;data-science;infrastructure;ml-ops;observability;orchestration;pipeline;prefect;python;workflow;workflow-engine","topic:data-science stars:>=100"
"tukuaiai/tradecat","https://github.com/tukuaiai/tradecat","tukuaiai","Python","927","False","False","12/30/2025 3:32:38 AM","5/3/2026 8:24:48 AM","交易猫数据系统","ai;binance;bitcoin;ccxt;crypto;cryptocurrency;ethereum;futures;indicators;market-data;pandas;python;quantitative-trading;real-time;ta-lib;technical-analysis;telegram-bot;timescaledb;trading;wyckoff","topic:bitcoin language:Python stars:>=50"
"spesmilo/electrum","https://github.com/spesmilo/electrum","spesmilo","Python","8462","False","False","8/2/2012 4:24:30 PM","5/3/2026 11:59:19 AM","Electrum Bitcoin Wallet","bitcoin;bitcoin-wallet;electrum;lightning;lightning-network;python","topic:bitcoin language:Python stars:>=50"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","False","False","5/18/2020 3:45:11 AM","5/3/2026 3:06:59 PM","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite","coreml;deep-learning;ios;machine-learning;ml;object-detection;onnx;pytorch;tflite;ultralytics;yolo;yolov3;yolov5","topic:machine-learning language:Python stars:>=50"
"whchien/ai-trader","https://github.com/whchien/ai-trader","whchien","Python","636","False","False","6/18/2024 2:10:24 PM","5/3/2026 5:04:58 PM","Backtrader-powered backtesting framework for algorithmic trading, featuring 20+ strategies, multi-market support, CLI tools, and an integrated MCP server for professional traders.","ai;ai-agents;algorithmic-trading;backtrader;cli;mcp;mcp-server;portfolio-management;quantitative-finance;stock-price-prediction;trading","topic:algorithmic-trading language:Python stars:>=50"
"rotki/rotki","https://github.com/rotki/rotki","rotki","Python","3829","False","False","3/5/2018 11:26:09 AM","5/3/2026 12:13:27 PM","A portfolio tracking, analytics, accounting and management application that protects your privacy","accounting;analytics;bitcoin;blockchain;cryptocurrencies;cryptocurrency-exchanges;cryptocurrency-portfolio;cryptocurrency-portfolio-tracking;ethereum;hacktoberfest;management;management-system;portfolio-tracker;tracking","topic:bitcoin language:Python stars:>=50"
"ray-project/ray","https://github.com/ray-project/ray","ray-project","Python","42411","False","False","10/25/2016 7:38:30 PM","5/3/2026 6:40:53 PM","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","topic:machine-learning language:Python stars:>=50 | a language:Python stars:>=50 | topic:data-science stars:>=100"
"fawazahmed0/exchange-api","https://github.com/fawazahmed0/exchange-api","fawazahmed0","Python","2316","False","False","2/29/2024 4:03:36 AM","5/3/2026 8:55:14 AM","Free Currency Exchange Rates API with 200+ Currencies & No Rate Limits","bitcoin;cryptocurrency;currency;currency-api;currency-conversion;currency-exchange;currency-exchange-rates;currency-rates;forex;forex-api","topic:bitcoin language:Python stars:>=50"
"datawhalechina/hello-agents","https://github.com/datawhalechina/hello-agents","datawhalechina","Python","42350","False","False","9/7/2025 9:50:24 AM","5/3/2026 6:55:45 PM","📚 《从零开始构建智能体》——从零开始的智能体原理与实践教程","agent;llm;rag;tutorial","a language:Python stars:>=50"
"scrapy/scrapy","https://github.com/scrapy/scrapy","scrapy","Python","61535","False","False","2/22/2010 2:01:14 AM","5/3/2026 2:55:56 PM","Scrapy, a fast high-level web crawling & scraping framework for Python.","crawler;crawling;framework;hacktoberfest;python;scraping;web-scraping;web-scraping-python","a language:Python stars:>=50"
"gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42495","False","False","12/19/2018 8:24:04 AM","5/3/2026 5:33:59 PM","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!","data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components","topic:machine-learning language:Python stars:>=50 | topic:data-science stars:>=100"
"enarjord/passivbot","https://github.com/enarjord/passivbot","enarjord","Python","1958","False","False","12/11/2020 12:21:48 PM","5/3/2026 10:30:51 AM","Trading bot running on Bybit, Bitget, OKX, GateIO, Binance, Kucoin and Hyperliquid","algorithmic-trading;binance;bitget;bybit;futures;gateio;hyperliquid;okx;perpetual-futures;trading","topic:algorithmic-trading language:Python stars:>=50"
"paperless-ngx/paperless-ngx","https://github.com/paperless-ngx/paperless-ngx","paperless-ngx","Python","40197","False","False","2/12/2022 9:56:52 PM","5/3/2026 6:37:53 PM","A community-supported supercharged document management system: scan, index and archive all your documents","angular;archiving;django;dms;document-management;document-management-system;hacktoberfest;machine-learning;ocr;optical-character-recognition;pdf","topic:machine-learning language:Python stars:>=50"
"arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17869","False","False","2/2/2023 11:03:23 AM","5/3/2026 3:54:16 PM","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.","agent-builder;agents;ai;chatgpt;docsgpt;hacktoberfest;hacktoberfest2025;information-retrieval;language-model;llm;machine-learning;natural-language-processing;python;pytorch;rag;react;search;semantic-search;transformers","topic:machine-learning language:Python stars:>=50"
