"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","False","False","3/31/2019 12:45:57 AM","5/3/2026 1:51:48 PM","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","ai;artificial-intelligence;data-science;deep-learning;machine-learning;python;pytorch","topic:deep-learning language:Python stars:>=50 | p language:Python stars:>=50 | topic:deep-learning stars:>=100"
"GokuMohandas/Made-With-ML","https://github.com/GokuMohandas/Made-With-ML","GokuMohandas","Jupyter Notebook","47486","False","False","11/5/2018 3:44:27 AM","5/3/2026 6:46:16 PM","Learn how to develop, deploy and iterate on production-grade ML applications.","data-engineering;data-quality;data-science;deep-learning;distributed-ml;distributed-training;llms;machine-learning;mlops;natural-language-processing;python;pytorch;ray","topic:deep-learning stars:>=100"
"meta-pytorch/torchrec","https://github.com/meta-pytorch/torchrec","meta-pytorch","Python","2535","False","False","7/12/2021 11:15:48 PM","5/3/2026 1:55:02 AM","Pytorch domain library for recommendation systems","cuda;deep-learning;gpu;pytorch;recommendation-system;recommender-system;sharding","topic:gpu language:Python stars:>=50"
"mouredev/Hello-Python","https://github.com/mouredev/Hello-Python","mouredev","Python","35465","False","False","8/3/2022 5:14:53 PM","5/3/2026 5:27:05 PM","Curso para aprender el lenguaje de programación Python desde cero y para principiantes. 100 clases, 44 horas en vídeo, código, proyectos y grupo de chat. Fundamentos, frontend, backend, testing, IA...","backend;chatgpt;chatgpt-api;fastapi;frontend;gpt-3;gpt-4;mongodb;openai;openai-api;python;python3;reflex;tutorial","p language:Python stars:>=50"
"NVlabs/storm","https://github.com/NVlabs/storm","NVlabs","Python","243","False","False","4/27/2021 8:54:27 PM","4/25/2026 5:50:55 AM","Stochastic Tensor Optimization for Robot Motion - A GPU Robot Motion Toolkit","","tensors language:Python stars:>=50"
"pyro-ppl/funsor","https://github.com/pyro-ppl/funsor","pyro-ppl","Python","246","False","False","1/30/2019 11:13:39 PM","5/2/2026 10:44:43 AM","Functional tensors for probabilistic programming","jax;machine-learning;numpy;probabilistic-programming;pyro;pytorch;symbolic","tensors language:Python stars:>=50"
"pathwaycom/pathway","https://github.com/pathwaycom/pathway","pathwaycom","Python","63353","False","False","11/27/2022 1:01:14 PM","5/3/2026 6:04:38 PM","Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.","batch-processing;data-analytics;data-pipelines;data-processing;dataflow;etl;etl-framework;iot-analytics;kafka;machine-learning-algorithms;pathway;python;real-time;rust;stream-processing;streaming;time-series-analysis","p language:Python stars:>=50"
"onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20762","False","False","9/7/2017 4:53:45 AM","5/3/2026 6:27:35 PM","Open standard for machine learning interoperability","ai;artificial-intelligence;deep-learning;deep-neural-networks;dnn;keras;machine-learning;ml;neural-network;onnx;pytorch;scikit-learn;tensorflow","topic:deep-learning language:Python stars:>=50"
"emmabostian/developer-portfolios","https://github.com/emmabostian/developer-portfolios","emmabostian","Python","22363","False","False","9/13/2019 2:18:58 PM","5/3/2026 6:19:17 PM","A list of developer portfolios for your inspiration","","p language:Python stars:>=50"
"NVIDIA/cutile-python","https://github.com/NVIDIA/cutile-python","NVIDIA","Python","2036","False","False","6/13/2025 10:07:17 PM","5/1/2026 11:05:21 AM","cuTile is a programming model for writing parallel kernels for NVIDIA GPUs","cutile;gpu;kernel;parallel-kernels;python;tile;tile-based-programming","topic:gpu language:Python stars:>=50"
