"Rank","RepoName","RepoUrl","Owner","Language","Stars","CreatedAt","UpdatedAt","Topics","Subdomain","Score","TopicRichness","DescriptionQ","LanguagePresent","StarsScore","RecencyScore","LongevityScore","SignalClarity","SubdomainScore","JunkPenalty","IsJunk","SourceQuery","Description"
"1","huggingface/transformers","https://github.com/huggingface/transformers","huggingface","Python","160211","10/29/2018 1:56:00 PM","5/3/2026 5:50:07 PM","","llm","1555","0","1","1","1","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
"2","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29395","3/14/2020 11:46:39 AM","5/3/2026 4:59:12 PM","","computer-vision","1525.76","0","1","1","0.8937","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"3","sebastianruder/NLP-progress","https://github.com/sebastianruder/NLP-progress","sebastianruder","Python","22971","6/22/2018 5:43:55 PM","5/1/2026 2:43:48 PM","","nlp","1519.87","0","1","1","0.8722","1","0.8","1","1","0","False","topic:machine-learning language:python stars:>=1000","Repository to track the progress in Natural Language Processing (NLP), including the datasets and the current state-of-the-art for the most common NLP tasks."
"4","serengil/deepface","https://github.com/serengil/deepface","serengil","Python","22662","2/8/2020 8:42:28 PM","5/3/2026 11:18:29 AM","","data-science","1496.63","0","1","1","0.8711","1","0.8","0.9167","1","0","False","topic:machine-learning language:python stars:>=1000","A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python"
"5","ageitgey/face_recognition","https://github.com/ageitgey/face_recognition","ageitgey","Python","56368","3/3/2017 9:52:39 PM","5/3/2026 4:37:34 PM","","reinforcement","1472.56","0","1","1","0.9502","1","0.8","0.75","1","0","False","topic:machine-learning language:python stars:>=1000","The world's simplest facial recognition api for Python and the command line"
"6","arc53/DocsGPT","https://github.com/arc53/DocsGPT","arc53","Python","17869","2/2/2023 11:03:23 AM","5/3/2026 3:54:16 PM","","data-science","1468.87","0","1","1","0.8504","1","0.6","1","1","0","False","topic:machine-learning language:python stars:>=1000","Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents."
"7","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99599","8/13/2016 5:26:41 AM","5/3/2026 6:20:49 PM","","deep-learning","1463.24","0","1","1","0.9997","1","0.8","0.6667","1","0","False","topic:machine-learning language:python stars:>=1000","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"8","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","7/3/2014 3:15:40 PM","5/3/2026 11:00:34 AM","","nlp","1436.41","0","1","1","0.9051","1","1","0.5","1","0","False","topic:machine-learning language:python stars:>=1000","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"9","OpenBB-finance/OpenBB","https://github.com/OpenBB-finance/OpenBB","OpenBB-finance","Python","66924","12/20/2020 10:46:38 AM","5/3/2026 5:42:24 PM","","reinforcement","1430.82","0","1","1","0.9651","1","0.8","0.5833","1","0","False","topic:machine-learning language:python stars:>=1000","Financial data platform for analysts, quants and AI agents."
"10","lukas-blecher/LaTeX-OCR","https://github.com/lukas-blecher/LaTeX-OCR","lukas-blecher","Python","16357","12/11/2020 4:35:13 PM","5/3/2026 3:54:09 PM","","computer-vision","1420.09","0","1","1","0.8427","1","0.8","0.6667","1","0","False","topic:machine-learning language:python stars:>=1000","pix2tex: Using a ViT to convert images of equations into LaTeX code."
