"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","1","1211.26","True","0.3333","0","1","0.9215","1","1","1","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","deep-learning","2","1101.25","True","0.2143","0","1","0.9051","1","1","1","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","deep-learning","3","1019.14","True","0.1905","0","1","0.844","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Streamlit — A faster way to build and share data apps."
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64057","deep-learning","4","1005.24","True","0.1905","0","1","0.7646","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","5","1003.12","True","0.1724","0","1","0.8454","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | topic:data-science language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31413","deep-learning","6","989.46","True","0.1429","0","1","0.9193","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42495","deep-learning","7","982.74","True","0.1481","0","1","0.8537","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9355","deep-learning","8","973.09","True","0.2","0","1","0.8176","1","1","0.3333","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series."
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20762","deep-learning","9","961.84","True","0.1538","0","1","0.9907","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Open standard for machine learning interoperability"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11192","deep-learning","10","949.9","True","0.1667","0","1","0.8566","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
