"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44432","False","False","8/24/2019 12:14:52 AM","5/3/2026 6:55:12 PM","Streamlit — A faster way to build and share data apps.","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","topic:machine-learning language:Python stars:>=50"
"botpress/botpress","https://github.com/botpress/botpress","botpress","TypeScript","14666","False","False","11/16/2016 9:57:59 PM","5/3/2026 1:39:04 PM","The open-source hub to build & deploy GPT/LLM Agents ⚡️","agent;ai;botpress;chatbot;chatgpt;gpt;gpt-4;langchain;llm;nlp;openai;prompt","topic:nlp stars:>=100"
"jessevig/bertviz","https://github.com/jessevig/bertviz","jessevig","Python","8039","False","False","12/16/2018 4:50:42 PM","5/3/2026 3:22:33 AM","BertViz: Visualize Attention in Transformer Models","bert;gpt2;machine-learning;natural-language-processing;neural-network;nlp;pytorch;roberta;transformer;transformers;visualization","nlp language:Python stars:>=50"
"google/langextract","https://github.com/google/langextract","google","Python","36361","False","False","7/8/2025 8:46:06 PM","5/3/2026 5:17:38 PM","A Python library for extracting structured information from unstructured text using LLMs with precise source grounding and interactive visualization.","gemini;gemini-ai;gemini-api;gemini-flash;gemini-pro;information-extration;large-language-models;llm;nlp;python;structured-data","nlp language:Python stars:>=50 | topic:nlp stars:>=100"
"yangchris11/samurai","https://github.com/yangchris11/samurai","yangchris11","Python","7062","False","False","11/6/2024 10:46:05 PM","5/3/2026 9:28:29 AM","Official repository of ""SAMURAI: Adapting Segment Anything Model for Zero-Shot Visual Tracking with Motion-Aware Memory""","","track language:Python stars:>=50"
"deepset-ai/haystack","https://github.com/deepset-ai/haystack","deepset-ai","MDX","25065","False","False","11/14/2019 9:05:28 AM","5/3/2026 6:54:33 PM","Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.","agent;agents;ai;gemini;generative-ai;gpt-4;information-retrieval;large-language-models;llm;machine-learning;nlp;orchestration;python;pytorch;question-answering;rag;retrieval-augmented-generation;semantic-search;summarization;transformers","topic:nlp stars:>=100"
"mikel-brostrom/boxmot","https://github.com/mikel-brostrom/boxmot","mikel-brostrom","Python","8134","False","False","6/26/2020 9:26:23 AM","5/3/2026 2:58:28 PM","BoxMOT: Pluggable python and c++ SOTA multi-object tracking modules with support for axis-aligned and oriented bounding boxes","boosttrack;botsort;bytetrack;deep-learning;deepocsort;machine-learning;mot;mots;multi-object-tracking;multi-object-tracking-segmentation;ocsort;oriented-bounding-box-tracking;segmentation;strongsort;tensorrt;tracking-by-detection;yolo","track language:Python stars:>=50"
"getsentry/sentry","https://github.com/getsentry/sentry","getsentry","Python","43762","False","False","8/30/2010 10:06:41 PM","5/3/2026 6:15:06 PM","Developer-first error tracking and performance monitoring","apm;crash-reporting;crash-reports;csp-report;devops;django;error-logging;error-monitoring;fair-source;hacktoberfest;monitor;monitoring;python;sentry;tag-production","track language:Python stars:>=50"
"rotki/rotki","https://github.com/rotki/rotki","rotki","Python","3829","False","False","3/5/2018 11:26:09 AM","5/3/2026 12:13:27 PM","A portfolio tracking, analytics, accounting and management application that protects your privacy","accounting;analytics;bitcoin;blockchain;cryptocurrencies;cryptocurrency-exchanges;cryptocurrency-portfolio;cryptocurrency-portfolio-tracking;ethereum;hacktoberfest;management;management-system;portfolio-tracker;tracking","track language:Python stars:>=50"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","False","False","5/18/2020 3:45:11 AM","5/3/2026 3:06:59 PM","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite","coreml;deep-learning;ios;machine-learning;ml;object-detection;onnx;pytorch;tflite;ultralytics;yolo;yolov3;yolov5","topic:machine-learning language:Python stars:>=50"
