"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"streamlit/streamlit","https://github.com/streamlit/streamlit","gradio-app/gradio","https://github.com/gradio-app/gradio","gradio-app","Python","42495","deep-learning","1","1260.81","True","0.375","0","1","0.9903","1","1","1","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50 | topic:deep-learning stars:>=100","Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!"
"streamlit/streamlit","https://github.com/streamlit/streamlit","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","2","1188.72","True","0.3636","0","1","0.9226","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"streamlit/streamlit","https://github.com/streamlit/streamlit","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64057","deep-learning","3","1161.1","True","0.3333","0","1","0.9206","1","1","0.6667","topic:data-science language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"streamlit/streamlit","https://github.com/streamlit/streamlit","eriklindernoren/ML-From-Scratch","https://github.com/eriklindernoren/ML-From-Scratch","eriklindernoren","Python","31413","deep-learning","4","1136.82","True","0.25","0","1","0.9247","1","1","1","topic:data-science language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning."
"streamlit/streamlit","https://github.com/streamlit/streamlit","unit8co/darts","https://github.com/unit8co/darts","unit8co","Python","9355","deep-learning","5","1093.07","True","0.3636","0","1","0.6617","1","1","0.3333","topic:data-science language:Python stars:>=50","A python library for user-friendly forecasting and anomaly detection on time series."
"streamlit/streamlit","https://github.com/streamlit/streamlit","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","deep-learning","6","1085.74","True","0.1905","0","1","0.9389","1","1","1","topic:data-science language:Python stars:>=50 | s language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"streamlit/streamlit","https://github.com/streamlit/streamlit","scikit-learn/scikit-learn","https://github.com/scikit-learn/scikit-learn","scikit-learn","Python","65966","data-science","7","1084.98","True","0.4444","0","1","0.9142","1","0","1","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | s language:Python stars:>=50","scikit-learn: machine learning in Python"
"streamlit/streamlit","https://github.com/streamlit/streamlit","Data-Centric-AI-Community/fg-data-profiling","https://github.com/Data-Centric-AI-Community/fg-data-profiling","Data-Centric-AI-Community","Python","13536","deep-learning","8","1025.49","True","0.2174","0","1","0.7419","1","1","0.6667","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50","1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. "
"streamlit/streamlit","https://github.com/streamlit/streamlit","tflearn/tflearn","https://github.com/tflearn/tflearn","tflearn","Python","9589","deep-learning","9","1012.19","True","0.2727","0","1","0.6671","1","1","0.3333","topic:data-science language:Python stars:>=50","Deep learning library featuring a higher-level API for TensorFlow."
"streamlit/streamlit","https://github.com/streamlit/streamlit","d2l-ai/d2l-zh","https://github.com/d2l-ai/d2l-zh","d2l-ai","Python","77606","deep-learning","10","1011.5","True","0.2308","0","1","0.8789","1","1","0.3333","topic:deep-learning stars:>=100","《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。"
"streamlit/streamlit","https://github.com/streamlit/streamlit","reflex-dev/reflex","https://github.com/reflex-dev/reflex","reflex-dev","Python","28357","data-science","11","1004.36","True","0.3571","0","1","0.9025","1","0","1","topic:data-analysis language:Python stars:>=50 | topic:data-science language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","🕸️ Web apps in pure Python 🐍"
"streamlit/streamlit","https://github.com/streamlit/streamlit","pytorch/pytorch","https://github.com/pytorch/pytorch","pytorch","Python","99600","deep-learning","12","1002.02","True","0.2308","0","1","0.8247","1","1","0.3333","topic:deep-learning stars:>=100","Tensors and Dynamic neural networks in Python with strong GPU acceleration"
"streamlit/streamlit","https://github.com/streamlit/streamlit","voxel51/fiftyone","https://github.com/voxel51/fiftyone","voxel51","Python","10630","deep-learning","13","995.65","True","0.25","0","1","0.6894","1","1","0.3333","topic:data-science language:Python stars:>=50","Refine high-quality datasets and visual AI models"
"streamlit/streamlit","https://github.com/streamlit/streamlit","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38299","deep-learning","14","981.86","True","0.125","0","1","0.9677","1","1","0.6667","s language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"streamlit/streamlit","https://github.com/streamlit/streamlit","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21665","deep-learning","15","969.13","True","0.1905","0","1","0.844","1","1","0.3333","topic:data-science language:Python stars:>=50","Best Practices on Recommendation Systems"
"streamlit/streamlit","https://github.com/streamlit/streamlit","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42248","deep-learning","16","967.82","True","0.1053","0","1","0.9891","1","1","0.6667","s language:Python stars:>=50 | topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"streamlit/streamlit","https://github.com/streamlit/streamlit","rio-labs/rio","https://github.com/rio-labs/rio","rio-labs","Python","3392","data-science","17","967.64","True","0.4615","0","1","0.4414","1","0","0.6667","topic:data-analysis language:Python stars:>=50 | topic:data-visualization language:Python stars:>=50","WebApps in pure Python. No JavaScript, HTML and CSS needed"
"streamlit/streamlit","https://github.com/streamlit/streamlit","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","deep-learning","18","963.77","True","0.1667","0","1","0.9358","1","1","0.3333","topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"streamlit/streamlit","https://github.com/streamlit/streamlit","NannyML/nannyml","https://github.com/NannyML/nannyml","NannyML","Python","2140","deep-learning","19","946.6","True","0.2632","0","1","0.3415","1","1","0.3333","topic:data-analysis language:Python stars:>=50","nannyml: post-deployment data science in python"
"streamlit/streamlit","https://github.com/streamlit/streamlit","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29395","deep-learning","20","944.3","True","0.15","0","1","0.9103","1","1","0.3333","topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"streamlit/streamlit","https://github.com/streamlit/streamlit","microsoft/qlib","https://github.com/microsoft/qlib","microsoft","Python","41915","deep-learning","21","940.18","True","0.1304","0","1","0.9873","1","1","0.3333","topic:deep-learning stars:>=100","Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process."
"streamlit/streamlit","https://github.com/streamlit/streamlit","scikit-learn-contrib/imbalanced-learn","https://github.com/scikit-learn-contrib/imbalanced-learn","scikit-learn-contrib","Python","7103","data-science","22","930.33","True","0.4444","0","1","0.6019","1","0","0.3333","topic:data-analysis language:Python stars:>=50"," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning"
"streamlit/streamlit","https://github.com/streamlit/streamlit","ultralytics/ultralytics","https://github.com/ultralytics/ultralytics","ultralytics","Python","56706","deep-learning","23","923.73","True","0.12","0","1","0.947","1","1","0.3333","topic:deep-learning stars:>=100","Ultralytics YOLO 🚀"
"streamlit/streamlit","https://github.com/streamlit/streamlit","piskvorky/gensim","https://github.com/piskvorky/gensim","piskvorky","Python","16405","deep-learning","24","922.14","True","0.15","0","1","0.7836","1","1","0.3333","topic:data-science language:Python stars:>=50","Topic Modelling for Humans"
"streamlit/streamlit","https://github.com/streamlit/streamlit","deezer/spleeter","https://github.com/deezer/spleeter","deezer","Python","28198","deep-learning","25","920.22","True","0.125","0","1","0.9013","1","1","0.3333","s language:Python stars:>=50","Deezer source separation library including pretrained models."
"streamlit/streamlit","https://github.com/streamlit/streamlit","autogluon/autogluon","https://github.com/autogluon/autogluon","autogluon","Python","10276","deep-learning","26","919.36","True","0.1667","0","1","0.6821","1","1","0.3333","topic:data-science language:Python stars:>=50","Fast and Accurate ML in 3 Lines of Code"
