"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","tinyvision/DAMO-YOLO","https://github.com/tinyvision/DAMO-YOLO","tinyvision","Python","3162","deep-learning","1","1082.55","True","0.3529","0","1","0.3709","1","1","0.6667","yolov5 language:Python stars:>=50 | y language:Python stars:>=50","DAMO-YOLO: a fast and accurate object detection method with some new techs, including NAS backbones, efficient RepGFPN, ZeroHead, AlignedOTA, and distillation enhancement."
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","Megvii-BaseDetection/YOLOX","https://github.com/Megvii-BaseDetection/YOLOX","Megvii-BaseDetection","Python","10448","deep-learning","2","1060.31","True","0.3333","0","1","0.6303","1","1","0.3333","y language:Python stars:>=50","YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","WangQvQ/YOLOMagic","https://github.com/WangQvQ/YOLOMagic","WangQvQ","Python","513","deep-learning","3","1050","True","0.5","0","1","0","0.6","1","0.3333","yolov5 language:Python stars:>=50","YOLO Magic🪄 is an extension based on Ultralytics' YOLOv5, designed to provide more powerful functionality and simpler operations for visual tasks."
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","38299","deep-learning","4","1026.34","True","0.1852","0","1","0.9124","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","We write your reusable computer vision tools. 💜"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64057","deep-learning","5","1020.78","True","0.1667","0","1","0.9759","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","6","1010.59","True","0.1765","0","1","0.8672","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","onnx/onnx","https://github.com/onnx/onnx","onnx","Python","20762","deep-learning","7","1000.69","True","0.2381","0","1","0.7795","1","1","0.3333","topic:deep-learning language:Python stars:>=50","Open standard for machine learning interoperability"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","ayooshkathuria/pytorch-yolo-v3","https://github.com/ayooshkathuria/pytorch-yolo-v3","ayooshkathuria","Python","3318","deep-learning","8","993.65","True","0.3077","0","1","0.3813","1","1","0.3333","y language:Python stars:>=50","A PyTorch implementation of the YOLO v3 object detection algorithm"
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","deepspeedai/DeepSpeed","https://github.com/deepspeedai/DeepSpeed","deepspeedai","Python","42248","deep-learning","9","980.79","True","0.1304","0","1","0.9337","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
"ultralytics/yolov5","https://github.com/ultralytics/yolov5","CorentinJ/Real-Time-Voice-Cloning","https://github.com/CorentinJ/Real-Time-Voice-Cloning","CorentinJ","Python","59711","deep-learning","10","979.34","True","0.1176","0","1","0.9912","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Clone a voice in 5 seconds to generate arbitrary speech in real-time"
